Cohort Year,School,Conference,Sport,State,GSR,FGR,PDF_URL
2007,Abilene Christian University,Southland Conference,Overall,TX,66,57,https://web3.ncaa.org/aprsearch/public_reports/inst2014/2.pdf?v=1751165504225
2007,University of Akron,Mid-American Conference,Overall,OH,74,65,https://web3.ncaa.org/aprsearch/public_reports/inst2014/5.pdf?v=1751165504225
2007,Alabama A&M University,Southwestern Athletic Conf.,Overall,AL,50,51,https://web3.ncaa.org/aprsearch/public_reports/inst2014/6.pdf?v=1751165504225
2007,Alabama State University,Southwestern Athletic Conf.,Overall,AL,70,45,https://web3.ncaa.org/aprsearch/public_reports/inst2014/7.pdf?v=1751165504225
2007,University of Alabama,Southeastern Conference,Overall,AL,91,69,https://web3.ncaa.org/aprsearch/public_reports/inst2014/8.pdf?v=1751165504225
2007,University of Alabama at Birmingham,Conference USA,Overall,AL,75,59,https://web3.ncaa.org/aprsearch/public_reports/inst2014/9.pdf?v=1751165504225
2007,University at Albany,America East Conference,Overall,NY,80,65,https://web3.ncaa.org/aprsearch/public_reports/inst2014/14.pdf?v=1751165504225
2007,Alcorn State University,Southwestern Athletic Conf.,Overall,MS,65,35,https://web3.ncaa.org/aprsearch/public_reports/inst2014/17.pdf?v=1751165504225
2007,American University,Patriot League,Overall,DC,94,74,https://web3.ncaa.org/aprsearch/public_reports/inst2014/23.pdf?v=1751165504225
2007,Appalachian State University,Southern Conference,Overall,NC,82,63,https://web3.ncaa.org/aprsearch/public_reports/inst2014/27.pdf?v=1751165504225
